sweep,family,N,alpha,t,j_star,w_small,model,n_repeats,wall_med_ms,wall_mean_ms,wall_cv,run_sample_med_ms,run_sample_mean_ms,run_sample_cv,run_count_med_ms,run_build_med_ms,phase3_fill_residual_med_ms,samples_per_sec_by_sample_med,ns_per_sample_by_sample_med
B_N_F0,F0,5000000,200.0,10000000,50000000,512,ours/sampling,3,79824.5,76613.0,0.10248928677070877,29109.641399,28067.440227,0.055031575665007076,33824.069729,10431.866985,nan,343528.7938773278,2910.9641399
B_N_F0,F0,5000000,200.0,10000000,50000000,512,ours/adaptive,3,74175.8,71963.90000000001,0.04482843261098835,27055.800237,27004.620951,0.003038769346496333,30424.000424,10569.614993,24831.059098,369606.5136644733,2705.5800237
B_N_F0,F0,5000000,200.0,10000000,50000000,512,range_tree/enum_sampling,3,630335.0,633769.6666666666,0.009342984832089346,231.483076,230.71701366666667,0.012670543772177006,630103.595646,0.000451,nan,43199702.42662578,23.1483076
B_N_F0,F0,5000000,200.0,10000000,50000000,512,range_tree/sampling,3,486648.0,487912.6666666667,0.003988717558878881,232642.399961,232765.421105,0.0010002003575112458,246525.976069,7479.575778,nan,42984.425890020015,23264.2399961
B_N_F0,F0,5000000,200.0,10000000,50000000,512,range_tree/adaptive,3,490723.0,491510.0,0.006026989380519709,227363.644245,228090.84219,0.0050895373304850645,255794.827916,7556.331292,225436.347638,43982.40551257311,22736.3644245
B_N_F0,F0,5000000,200.0,10000000,50000000,512,kd_tree/sampling,3,64063.5,64029.3,0.001112976101107105,38789.263901,38807.077172,0.0011663481499369667,24033.019087,1188.4528,nan,257803.29385787074,3878.9263901
C_t_F0,F0,1000000,200.0,1000000,50000000,512,ours/enum_sampling,3,13500.8,14814.199999999999,0.13934467411038723,27.542652,24.278761,0.20523426348757848,11952.877772,1588.638043,nan,36307324.363681465,27.542652
C_t_F0,F0,1000000,200.0,1000000,50000000,512,ours/sampling,3,11491.2,11072.800000000001,0.055707336095016345,3774.621354,3776.0404956666666,0.002977386584579015,4861.804749,1594.398785,nan,264927.23540078825,3774.621354
C_t_F0,F0,1000000,200.0,1000000,50000000,512,ours/adaptive,3,11808.2,11580.866666666667,0.05705964910431778,3891.511222,3887.4165270000003,0.0030869005734372188,5191.291321,1609.831656,3682.201154,256969.5788994952,3891.511222
C_t_F0,F0,1000000,200.0,1000000,50000000,512,range_tree/enum_sampling,3,75839.0,76527.16666666667,0.01312496688431186,17.651593,17.615839666666666,0.014901361108764105,75821.106132,0.00038,nan,56652110.6621935,17.651593
C_t_F0,F0,1000000,200.0,1000000,50000000,512,range_tree/sampling,3,57456.3,57523.76666666667,0.002408408630295454,26051.293836,26040.092483333334,0.0011499817906936737,30284.405163,1118.256621,nan,38385.80940721304,26051.293836
C_t_F0,F0,1000000,200.0,1000000,50000000,512,range_tree/adaptive,3,62872.3,63002.933333333334,0.003710948359044799,25586.963363,25571.793402333333,0.001313380524968926,36136.872772,1149.167693,25407.370997,39082.40246461012,25586.963363
C_t_F0,F0,1000000,200.0,1000000,50000000,512,kd_tree/sampling,3,7052.75,7045.243333333333,0.0031116113915986955,3756.420426,3756.3792553333333,0.0020024852246755902,3098.17923,196.647288,nan,266210.8833927419,3756.420426
